City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Buchanan,LR,2021-04-24 03:14:17,5.8808,-10.0467,77.0,94,20,6.89,few clouds
1,Thompson,CA,2021-04-24 03:14:48,55.7435,-97.8558,17.6,49,20,5.75,few clouds
2,Mataura,NZ,2021-04-24 03:16:49,-46.1927,168.8643,53.01,87,96,1.99,overcast clouds
3,Ushuaia,AR,2021-04-24 03:18:20,-54.8,-68.3,42.8,93,75,14.97,broken clouds
4,Khatanga,RU,2021-04-24 03:13:46,71.9667,102.5,33.33,97,100,18.92,overcast clouds
5,Port Alfred,ZA,2021-04-24 03:18:20,-33.5906,26.891,64.22,74,0,14.36,clear sky
6,Mumford,GH,2021-04-24 03:18:21,5.2618,-0.759,81.05,84,100,9.55,moderate rain
7,Bredasdorp,ZA,2021-04-24 03:15:05,-34.5322,20.0403,46.4,93,96,2.3,overcast clouds
8,Derzhavinsk,KZ,2021-04-24 03:18:21,51.1,66.3167,43.05,42,100,16.69,overcast clouds
9,Castro,BR,2021-04-24 03:18:21,-24.7911,-50.0119,52.9,88,8,3.22,clear sky
10,Acari,PE,2021-04-24 03:18:22,-15.4311,-74.6158,69.08,84,25,3.06,scattered clouds
11,Cherskiy,RU,2021-04-24 03:17:29,68.75,161.3,27.63,89,100,4.45,light snow
12,Torrington,US,2021-04-24 03:18:22,41.8007,-73.1212,44.01,57,7,3.62,clear sky
13,Vaini,TO,2021-04-24 03:16:41,-21.2,-175.2,84.2,79,20,8.05,few clouds
14,Padang,ID,2021-04-24 03:18:23,-0.9492,100.3543,86.0,66,20,2.3,few clouds
15,Pevek,RU,2021-04-24 03:18:23,69.7008,170.3133,19.83,85,54,2.01,broken clouds
16,Saint-Georges,GD,2021-04-24 03:18:24,12.0564,-61.7485,80.6,78,20,14.97,few clouds
17,Rikitea,PF,2021-04-24 03:18:24,-23.1203,-134.9692,79.02,74,100,14.81,overcast clouds
18,Pundaguitan,PH,2021-04-24 03:18:25,6.3711,126.1689,84.58,67,56,6.4,broken clouds
19,Mangrol,IN,2021-04-24 03:18:25,21.1167,70.1167,82.71,71,99,10.4,overcast clouds
20,Barrow,US,2021-04-24 03:18:25,71.2906,-156.7887,28.4,74,1,3.44,clear sky
21,Jamestown,US,2021-04-24 03:14:57,42.097,-79.2353,46.4,49,1,13.8,clear sky
22,Punta Arenas,CL,2021-04-24 03:18:26,-53.15,-70.9167,42.8,93,75,2.3,broken clouds
23,Meulaboh,ID,2021-04-24 03:18:26,4.1363,96.1285,81.05,77,100,3.71,overcast clouds
24,Kavali,IN,2021-04-24 03:18:27,14.9167,79.9833,89.02,57,16,8.63,few clouds
25,Coahuayana,MX,2021-04-24 03:16:12,18.7333,-103.6833,72.9,73,41,0.6,scattered clouds
26,Hilo,US,2021-04-24 03:18:27,19.7297,-155.09,78.8,57,90,5.75,light rain
27,Caohe,CN,2021-04-24 03:18:28,30.2297,115.4335,65.79,81,100,3.18,light rain
28,Kapaa,US,2021-04-24 03:13:30,22.0752,-159.319,77.0,69,40,18.41,light rain
29,Norman Wells,CA,2021-04-24 03:18:28,65.282,-126.8329,33.8,55,90,11.5,overcast clouds
30,Samarai,PG,2021-04-24 03:18:29,-10.6167,150.6667,84.58,72,58,10.11,broken clouds
31,Flin Flon,CA,2021-04-24 03:13:54,54.7682,-101.865,20.14,68,41,2.59,scattered clouds
32,Chuy,UY,2021-04-24 03:16:30,-33.6971,-53.4616,64.62,89,12,9.13,few clouds
33,Korla,CN,2021-04-24 03:18:30,41.7597,86.1469,48.54,42,15,3.09,few clouds
34,Taltal,CL,2021-04-24 03:18:30,-25.4,-70.4833,61.56,83,5,1.25,clear sky
35,Mahebourg,MU,2021-04-24 03:18:31,-20.4081,57.7,75.2,94,75,11.5,light rain
36,Busselton,AU,2021-04-24 03:13:37,-33.65,115.3333,75.0,55,24,1.99,few clouds
37,Manokwari,ID,2021-04-24 03:18:31,-0.8667,134.0833,82.38,76,66,5.32,heavy intensity rain
38,Sotuta,MX,2021-04-24 03:18:32,20.6,-89.0167,76.6,69,1,8.93,clear sky
39,Lincoln,US,2021-04-24 03:18:28,40.8,-96.667,53.6,43,1,10.36,clear sky
40,Anadyr,RU,2021-04-24 03:18:32,64.75,177.4833,26.6,80,0,6.71,clear sky
41,Sitka,US,2021-04-24 03:16:22,57.0531,-135.33,59.0,23,20,4.61,few clouds
42,Carnarvon,AU,2021-04-24 03:18:33,-24.8667,113.6333,86.0,26,2,4.61,clear sky
43,Hermanus,ZA,2021-04-24 03:18:33,-34.4187,19.2345,55.99,90,97,4.0,overcast clouds
44,Vao,NC,2021-04-24 03:16:31,-22.6667,167.4833,75.87,74,70,10.4,broken clouds
45,Pisco,PE,2021-04-24 03:14:50,-13.7,-76.2167,66.0,88,2,5.75,clear sky
46,Kaitangata,NZ,2021-04-24 03:13:47,-46.2817,169.8464,55.0,64,100,7.0,overcast clouds
47,Ahvaz,IR,2021-04-24 03:14:03,31.3203,48.6693,73.4,46,100,4.23,overcast clouds
48,Lac Du Bonnet,CA,2021-04-24 03:18:35,50.2536,-96.0612,28.0,99,100,4.81,overcast clouds
49,Saskylakh,RU,2021-04-24 03:18:35,71.9167,114.0833,33.89,96,100,19.75,overcast clouds
50,Shibetsu,JP,2021-04-24 03:18:35,43.659,145.132,66.2,34,0,10.36,clear sky
51,Vilhena,BR,2021-04-24 03:17:58,-12.7406,-60.1458,72.43,83,95,3.51,overcast clouds
52,Ciudad Bolivar,VE,2021-04-24 03:17:23,8.1222,-63.5497,83.03,59,26,15.05,scattered clouds
53,Conceicao Do Araguaia,BR,2021-04-24 03:14:40,-8.2578,-49.2647,77.0,94,0,1.14,clear sky
54,Atuona,PF,2021-04-24 03:14:50,-9.8,-139.0333,80.37,78,22,24.02,few clouds
55,Gat,IL,2021-04-24 03:18:36,31.61,34.7642,66.0,100,37,2.51,scattered clouds
56,Ahuimanu,US,2021-04-24 03:18:37,21.4447,-157.8378,78.8,69,90,11.5,overcast clouds
57,Butaritari,KI,2021-04-24 03:18:37,3.0707,172.7902,81.21,77,100,6.69,moderate rain
58,Mar Del Plata,AR,2021-04-24 03:18:38,-38.0023,-57.5575,63.0,100,90,2.3,moderate rain
59,Bluff,NZ,2021-04-24 03:18:38,-46.6,168.3333,53.01,87,64,1.99,broken clouds
60,Huilong,CN,2021-04-24 03:18:38,31.8111,121.655,64.99,95,100,3.0,overcast clouds
61,Antofagasta,CL,2021-04-24 03:18:39,-23.65,-70.4,60.8,88,75,5.75,broken clouds
62,Rundu,NA,2021-04-24 03:18:39,-17.9333,19.7667,55.62,49,0,4.68,clear sky
63,Jasper,US,2021-04-24 03:18:40,37.2001,-94.3502,57.2,88,90,14.97,moderate rain
64,Anshun,CN,2021-04-24 03:18:40,26.25,105.9333,69.4,77,100,6.17,overcast clouds
65,Hofn,IS,2021-04-24 03:18:40,64.2539,-15.2082,44.73,76,100,4.68,overcast clouds
66,Tymovskoye,RU,2021-04-24 03:18:41,50.8456,142.655,35.76,78,99,8.72,overcast clouds
67,Mayumba,GA,2021-04-24 03:14:46,-3.432,10.6554,76.51,89,100,5.53,overcast clouds
68,Tual,ID,2021-04-24 03:18:41,-5.6667,132.75,84.27,72,100,18.37,overcast clouds
69,Victoria,HK,2021-04-24 03:14:45,22.2855,114.1577,84.2,61,20,17.27,few clouds
70,Myanaung,MM,2021-04-24 03:18:42,18.2833,95.3167,92.23,46,24,2.19,few clouds
71,Upernavik,GL,2021-04-24 03:18:07,72.7868,-56.1549,28.0,88,100,4.54,light snow
72,Bengkulu,ID,2021-04-24 03:18:43,-3.8004,102.2655,82.69,66,100,1.34,overcast clouds
73,Auray,FR,2021-04-24 03:18:43,47.6703,-2.9918,55.0,53,0,13.8,clear sky
74,Lata,PT,2021-04-24 03:18:44,40.1629,-8.3327,59.0,94,40,5.75,scattered clouds
75,Tasiilaq,GL,2021-04-24 03:18:44,65.6145,-37.6368,37.4,70,90,25.32,light snow
76,Bambous Virieux,MU,2021-04-24 03:18:44,-20.3428,57.7575,77.0,94,75,11.5,light rain
77,Longyearbyen,SJ,2021-04-24 03:18:45,78.2186,15.6401,19.4,73,75,5.75,light snow
78,Koungou,YT,2021-04-24 03:18:45,-12.7336,45.2042,80.6,83,75,24.16,light rain
79,Hobart,AU,2021-04-24 03:16:01,-42.8794,147.3294,61.0,44,75,16.11,broken clouds
80,Ribeira Grande,PT,2021-04-24 03:18:46,38.5167,-28.7,58.37,78,99,28.45,overcast clouds
81,Albany,US,2021-04-24 03:17:55,42.6001,-73.9662,45.0,51,3,6.13,clear sky
82,Mancio Lima,BR,2021-04-24 03:18:46,-7.6142,-72.8958,75.2,100,0,1.14,clear sky
83,Baker City,US,2021-04-24 03:18:47,44.7749,-117.8344,57.2,38,75,9.22,broken clouds
84,Rock Sound,BS,2021-04-24 03:18:47,24.9,-76.2,76.03,75,99,16.98,overcast clouds
85,Teguise,ES,2021-04-24 03:18:48,29.0605,-13.564,64.4,77,0,5.75,clear sky
86,Clyde River,CA,2021-04-24 03:16:51,70.4692,-68.5914,10.4,92,90,3.44,heavy snow
87,Ponta Do Sol,PT,2021-04-24 03:18:49,32.6667,-17.1,60.01,79,21,3.0,few clouds
88,Avarua,CK,2021-04-24 03:18:49,-21.2078,-159.775,80.6,78,40,16.11,light rain
89,Vardo,NO,2021-04-24 03:18:50,70.3705,31.1107,34.92,65,100,14.76,overcast clouds
90,Cabo San Lucas,MX,2021-04-24 03:18:50,22.8909,-109.9124,72.0,56,20,8.99,few clouds
91,Isangel,VU,2021-04-24 03:18:50,-19.55,169.2667,86.0,74,75,5.75,broken clouds
92,Williston,US,2021-04-24 03:18:51,48.147,-103.618,34.0,36,100,8.12,overcast clouds
93,Cidreira,BR,2021-04-24 03:17:30,-30.1811,-50.2056,69.64,82,1,16.2,clear sky
94,Selam,IN,2021-04-24 03:15:34,11.65,78.1667,80.6,69,40,2.55,mist
95,Lekoni,GA,2021-04-24 03:18:51,-1.5843,14.2591,72.45,86,100,13.15,heavy intensity rain
96,Okhotsk,RU,2021-04-24 03:18:52,59.3833,143.3,29.93,56,8,17.87,clear sky
97,Indramayu,ID,2021-04-24 03:18:52,-6.3264,108.32,84.18,63,0,9.91,clear sky
98,Odweyne,SO,2021-04-24 03:18:53,9.4092,45.064,71.17,61,86,3.15,overcast clouds
99,Salalah,OM,2021-04-24 03:18:53,17.0151,54.0924,82.4,74,20,3.44,few clouds
100,Buala,SB,2021-04-24 03:18:54,-8.145,159.5921,84.79,69,56,5.28,light rain
101,Svetlyy,RU,2021-04-24 03:18:54,54.675,20.1347,30.2,80,0,6.71,clear sky
102,Richards Bay,ZA,2021-04-24 03:18:54,-28.783,32.0377,66.47,66,95,14.14,overcast clouds
103,Klaksvik,FO,2021-04-24 03:18:55,62.2266,-6.589,42.8,100,90,5.75,overcast clouds
104,Dharmanagar,IN,2021-04-24 03:18:55,24.3667,92.1667,94.35,21,22,2.62,few clouds
105,Saint-Philippe,RE,2021-04-24 03:18:56,-21.3585,55.7679,77.0,69,0,10.36,moderate rain
106,Svetlogorsk,BY,2021-04-24 03:18:56,52.6333,29.7333,31.78,87,64,11.39,broken clouds
107,Fort Nelson,CA,2021-04-24 03:18:56,58.8053,-122.7002,35.6,41,20,6.91,few clouds
108,Grindavik,IS,2021-04-24 03:18:57,63.8424,-22.4338,46.4,93,75,16.11,broken clouds
109,New Norfolk,AU,2021-04-24 03:18:57,-42.7826,147.0587,61.0,70,96,3.0,overcast clouds
110,Tupik,RU,2021-04-24 03:18:57,54.4253,119.9327,44.89,36,2,10.8,clear sky
111,Alofi,NU,2021-04-24 03:18:58,-19.0595,-169.9187,82.4,83,26,9.22,scattered clouds
112,Dulce Grande,MX,2021-04-24 03:18:58,23.0,-102.1667,66.2,14,75,11.5,broken clouds
113,Okakarara,NA,2021-04-24 03:18:59,-20.5833,17.4333,54.5,43,0,3.51,clear sky
114,Whittlesea,ZA,2021-04-24 03:18:59,-32.1759,26.8244,46.0,96,35,2.28,scattered clouds
115,Husavik,IS,2021-04-24 03:19:00,66.0449,-17.3389,35.6,93,0,3.44,clear sky
116,Bambanglipuro,ID,2021-04-24 03:19:00,-7.95,110.2833,83.93,64,1,5.86,clear sky
117,Morondava,MG,2021-04-24 03:19:00,-20.2833,44.2833,73.99,78,0,5.26,clear sky
118,Half Moon Bay,US,2021-04-24 03:14:19,37.4636,-122.4286,54.0,87,90,4.61,mist
119,Narsaq,GL,2021-04-24 03:19:01,60.9167,-46.05,35.6,69,75,3.44,broken clouds
120,Tiksi,RU,2021-04-24 03:19:01,71.6872,128.8694,18.27,82,100,16.87,overcast clouds
121,Port Lincoln,AU,2021-04-24 03:19:02,-34.7333,135.8667,64.15,59,68,8.3,broken clouds
122,Gurupa,BR,2021-04-24 03:19:02,-1.405,-51.64,73.72,96,93,2.1,overcast clouds
123,Hasaki,JP,2021-04-24 03:19:03,35.7333,140.8333,72.0,48,75,8.05,broken clouds
124,Saint George,US,2021-04-24 03:19:03,37.1041,-113.5841,71.6,12,1,6.91,clear sky
125,Dauphin,CA,2021-04-24 03:19:03,51.1494,-100.0502,28.4,59,90,6.91,overcast clouds
126,Leningradskiy,RU,2021-04-24 03:19:04,69.3833,178.4167,29.28,86,94,6.53,overcast clouds
127,Bahar,IR,2021-04-24 03:19:04,34.9072,48.4414,46.4,71,0,2.42,clear sky
128,Valdivia,CL,2021-04-24 03:19:04,-39.8142,-73.2459,42.8,100,20,2.3,few clouds
129,Saint-Francois,FR,2021-04-24 03:19:05,46.4154,3.9054,39.0,81,0,1.14,clear sky
130,Hualmay,PE,2021-04-24 03:19:05,-11.0964,-77.6139,66.07,91,8,7.72,clear sky
131,Dingle,PH,2021-04-24 03:19:06,10.9995,122.6711,91.92,49,91,7.83,light rain
132,Shaunavon,CA,2021-04-24 03:19:06,49.6501,-108.4181,32.0,51,58,9.22,broken clouds
133,Torbay,CA,2021-04-24 03:15:08,47.6666,-52.7314,39.0,100,90,16.11,overcast clouds
134,Ola,RU,2021-04-24 03:19:07,59.5833,151.2833,30.02,74,68,3.33,broken clouds
135,Niamey,NE,2021-04-24 03:19:07,13.5137,2.1098,84.2,18,13,2.3,few clouds
136,Cotonou,BJ,2021-04-24 03:14:33,6.3654,2.4183,82.4,89,40,17.27,scattered clouds
137,Puerto Ayora,EC,2021-04-24 03:19:08,-0.7393,-90.3518,77.0,95,13,4.0,few clouds
138,Sisimiut,GL,2021-04-24 03:19:09,66.9395,-53.6735,31.98,66,100,6.31,overcast clouds
139,Qasigiannguit,GL,2021-04-24 03:19:09,68.8193,-51.1922,30.2,64,100,2.3,overcast clouds
140,Waingapu,ID,2021-04-24 03:19:09,-9.6567,120.2641,84.47,69,1,10.33,clear sky
141,Aklavik,CA,2021-04-24 03:19:10,68.2191,-135.0107,35.6,55,79,8.05,broken clouds
142,Collie,AU,2021-04-24 03:19:10,-33.3667,116.15,78.73,30,89,5.61,overcast clouds
143,Ancud,CL,2021-04-24 03:16:34,-41.8697,-73.8203,48.0,100,40,3.2,mist
144,Bilibino,RU,2021-04-24 03:19:11,68.0546,166.4372,26.89,79,68,3.31,broken clouds
145,Magaria,NE,2021-04-24 03:19:11,12.9983,8.9099,82.78,25,67,6.96,broken clouds
146,Klaebu,NO,2021-04-24 03:19:11,63.2976,10.4826,33.8,80,75,11.5,light snow
147,Carlisle,US,2021-04-24 03:19:06,40.2015,-77.1889,48.0,49,5,7.18,clear sky
148,Esperance,AU,2021-04-24 03:19:12,-33.8667,121.9,73.4,46,100,12.66,overcast clouds
149,Maliq,AL,2021-04-24 03:19:12,40.7058,20.6997,43.03,96,100,3.51,overcast clouds
150,Cabedelo,BR,2021-04-24 03:19:13,-6.9811,-34.8339,77.0,88,0,3.44,clear sky
151,Chifeng,CN,2021-04-24 03:19:13,42.2683,118.9636,52.2,69,100,12.26,overcast clouds
152,Pangnirtung,CA,2021-04-24 03:19:14,66.1451,-65.7125,30.9,89,100,6.67,overcast clouds
153,Nikolskoye,RU,2021-04-24 03:19:14,59.7035,30.7861,35.01,93,75,4.36,broken clouds
154,Port Hedland,AU,2021-04-24 03:19:14,-20.3167,118.5667,93.2,13,0,16.11,clear sky
155,Yellowknife,CA,2021-04-24 03:15:08,62.456,-114.3525,15.01,62,75,8.05,broken clouds
156,Swellendam,ZA,2021-04-24 03:19:15,-34.0226,20.4417,46.4,93,72,2.3,broken clouds
157,Ambilobe,MG,2021-04-24 03:19:15,-13.2,49.05,70.27,85,65,3.51,broken clouds
158,Port Elizabeth,ZA,2021-04-24 03:19:16,-33.918,25.5701,55.4,100,90,4.61,fog
159,Maun,BW,2021-04-24 03:19:16,-19.9833,23.4167,57.2,67,0,3.44,clear sky
160,Geraldton,AU,2021-04-24 03:19:17,-28.7667,114.6,86.0,21,2,5.75,clear sky
161,Shubarkuduk,KZ,2021-04-24 03:19:17,49.1447,56.4872,48.4,74,82,10.2,broken clouds
162,Khorixas,NA,2021-04-24 03:19:17,-20.3667,14.9667,68.52,44,10,7.49,clear sky
163,Charters Towers,AU,2021-04-24 03:19:18,-20.1,146.2667,67.17,85,100,12.21,overcast clouds
164,Jacobabad,PK,2021-04-24 03:19:18,28.281,68.4388,83.37,16,0,9.15,clear sky
165,Kita,ML,2021-04-24 03:19:18,13.0349,-9.4895,89.33,30,85,5.53,overcast clouds
166,Gayeri,BF,2021-04-24 03:19:19,12.6497,0.4931,88.3,25,73,6.31,broken clouds
167,George,ZA,2021-04-24 03:19:19,-33.963,22.4617,53.6,94,0,3.44,clear sky
168,Sao Joao Da Barra,BR,2021-04-24 03:19:20,-21.6403,-41.0511,68.23,88,0,6.91,clear sky
169,Port Hardy,CA,2021-04-24 03:19:20,50.6996,-127.4199,48.2,93,90,3.44,light rain
170,Cape Town,ZA,2021-04-24 03:17:50,-33.9258,18.4232,59.0,82,0,10.36,clear sky
171,Hervey Bay,AU,2021-04-24 03:19:21,-25.2986,152.8535,78.01,51,14,4.0,few clouds
172,Lavrentiya,RU,2021-04-24 03:19:21,65.5833,-171.0,33.3,83,3,4.12,clear sky
173,Katsuura,JP,2021-04-24 03:19:21,35.1333,140.3,72.0,52,75,4.61,broken clouds
174,Sherlovaya Gora,RU,2021-04-24 03:19:22,50.5667,116.25,45.14,11,82,8.21,broken clouds
175,Faanui,PF,2021-04-24 03:16:23,-16.4833,-151.75,80.13,75,100,10.13,light rain
176,Saint-Joseph,RE,2021-04-24 03:19:22,-21.3667,55.6167,77.0,69,0,10.36,light rain
177,Susanville,US,2021-04-24 03:15:01,40.4163,-120.653,60.8,29,1,13.8,clear sky
178,Arraial Do Cabo,BR,2021-04-24 03:19:23,-22.9661,-42.0278,72.9,80,41,13.96,scattered clouds
179,Taoudenni,ML,2021-04-24 03:19:23,22.6783,-3.9836,85.03,8,0,8.39,clear sky
180,Qaanaaq,GL,2021-04-24 03:19:24,77.484,-69.3632,17.2,79,100,5.44,overcast clouds
181,Tres Arroyos,AR,2021-04-24 03:19:24,-38.3739,-60.2798,58.37,95,98,6.49,overcast clouds
182,Nanortalik,GL,2021-04-24 03:16:58,60.1432,-45.2371,34.77,91,10,4.45,clear sky
183,Tzaneen,ZA,2021-04-24 03:19:25,-23.8332,30.1635,51.8,58,0,5.75,clear sky
184,Fukue,JP,2021-04-24 03:19:25,32.6881,128.8419,64.4,94,75,9.22,broken clouds
185,Arauca,CO,2021-04-24 03:19:26,7.0847,-70.7591,78.8,78,31,2.3,scattered clouds
186,Cayenne,GF,2021-04-24 03:19:26,4.9333,-52.3333,78.01,94,75,3.44,broken clouds
187,Havoysund,NO,2021-04-24 03:16:24,70.9963,24.6622,30.2,64,90,12.66,light snow
188,Isla Vista,US,2021-04-24 03:19:27,34.4133,-119.861,55.4,76,1,4.61,clear sky
189,Jinotega,NI,2021-04-24 03:19:27,13.0917,-86.0018,66.15,65,6,5.93,clear sky
190,Bojnurd,IR,2021-04-24 03:19:27,37.4747,57.329,53.6,76,90,9.22,overcast clouds
191,Chilliwack,CA,2021-04-24 03:15:08,49.1747,-121.9443,57.2,72,100,3.44,overcast clouds
192,Dikson,RU,2021-04-24 03:16:56,73.5069,80.5464,31.93,98,100,15.08,light snow
193,Matay,EG,2021-04-24 03:19:28,28.419,30.7792,62.17,59,11,14.18,few clouds
194,Faya,SA,2021-04-24 03:19:29,18.3851,42.4509,60.8,51,0,1.92,clear sky
195,Matara,LK,2021-04-24 03:18:56,5.9485,80.5353,81.34,82,72,5.32,broken clouds
196,Tuatapere,NZ,2021-04-24 03:19:29,-46.1333,167.6833,53.01,87,56,1.99,broken clouds
197,Yangjiang,CN,2021-04-24 03:19:29,21.85,111.9667,88.0,56,11,11.3,few clouds
198,Honiara,SB,2021-04-24 03:19:30,-9.4333,159.95,85.46,69,87,5.23,overcast clouds
199,San Quintin,MX,2021-04-24 03:18:59,30.4833,-115.95,57.99,80,16,15.05,few clouds
200,Praya,CV,2021-04-24 03:19:31,14.9215,-23.5087,68.0,77,40,13.8,scattered clouds
201,Kandrian,PG,2021-04-24 03:19:31,-6.2167,149.55,82.51,77,78,2.28,moderate rain
202,Ardakan,IR,2021-04-24 03:19:31,32.31,54.0175,77.0,22,75,2.3,broken clouds
203,Otatitlan,MX,2021-04-24 03:19:32,18.2,-96.0333,84.81,59,100,4.9,overcast clouds
204,Bertoua,CM,2021-04-24 03:19:32,4.5833,13.6833,69.04,97,100,1.41,overcast clouds
205,Kodiak,US,2021-04-24 03:16:22,57.79,-152.4072,41.0,81,90,9.22,light rain
206,Roebourne,AU,2021-04-24 03:19:33,-20.7833,117.1333,88.72,19,0,16.53,clear sky
207,Tuktoyaktuk,CA,2021-04-24 03:19:33,69.4541,-133.0374,17.6,73,40,13.8,scattered clouds
208,Kahului,US,2021-04-24 03:19:34,20.8947,-156.47,78.8,57,20,23.02,few clouds
209,Yar-Sale,RU,2021-04-24 03:19:34,66.8333,70.8333,32.32,99,98,8.57,overcast clouds
210,Qinhuangdao,CN,2021-04-24 03:19:35,39.9317,119.5883,62.91,57,56,15.66,broken clouds
211,Saint-Pierre,RE,2021-04-24 03:19:35,-21.3393,55.4781,77.0,69,0,10.36,clear sky
212,Barra Do Garcas,BR,2021-04-24 03:19:35,-15.89,-52.2567,66.92,64,8,0.34,clear sky
213,Lubango,AO,2021-04-24 03:19:36,-14.9172,13.4925,62.2,63,100,2.93,overcast clouds
214,Hovd,MN,2021-04-24 03:19:34,48.0056,91.6419,37.13,18,20,7.18,few clouds
215,Inhambane,MZ,2021-04-24 03:14:42,-23.865,35.3833,65.57,88,91,6.2,overcast clouds
216,San Jose,US,2021-04-24 03:16:20,37.3394,-121.895,57.2,67,40,11.5,scattered clouds
217,Bathsheba,BB,2021-04-24 03:17:24,13.2167,-59.5167,78.8,65,40,14.97,scattered clouds
218,Imbituba,BR,2021-04-24 03:19:37,-28.24,-48.6703,66.2,100,75,3.44,broken clouds
219,Hithadhoo,MV,2021-04-24 03:19:37,-0.6,73.0833,82.53,69,39,3.6,scattered clouds
220,Kolyshley,RU,2021-04-24 03:19:38,52.7005,44.5367,46.0,49,77,6.24,broken clouds
221,Lujan,AR,2021-04-24 03:19:38,-34.5703,-59.105,63.0,99,100,1.99,overcast clouds
222,Pannonhalma,HU,2021-04-24 03:19:38,47.5495,17.7554,33.8,80,0,2.3,clear sky
223,Prince Rupert,CA,2021-04-24 03:19:39,54.3161,-130.3201,48.2,76,1,6.91,clear sky
224,Lebu,CL,2021-04-24 03:19:39,-37.6167,-73.65,52.84,89,86,10.6,overcast clouds
225,Abu Dhabi,AE,2021-04-24 03:19:40,24.4667,54.3667,75.2,57,0,6.91,clear sky
226,San Cristobal,VE,2021-04-24 03:19:40,7.7669,-72.225,82.4,74,20,3.44,few clouds
227,Kungurtug,RU,2021-04-24 03:17:40,50.5994,97.5228,31.33,82,100,1.79,light snow
228,Celestun,MX,2021-04-24 03:19:41,20.8667,-90.4,85.37,49,97,18.19,overcast clouds
229,Dubai,AE,2021-04-24 03:19:41,25.2582,55.3047,80.6,34,0,2.3,clear sky
230,Maragogi,BR,2021-04-24 03:15:07,-9.0122,-35.2225,77.74,81,27,7.81,scattered clouds
231,Lompoc,US,2021-04-24 03:19:25,34.6391,-120.4579,53.6,71,4,5.75,clear sky
232,Toba Tek Singh,PK,2021-04-24 03:19:42,30.9743,72.4827,77.81,33,0,6.38,clear sky
233,Dunedin,NZ,2021-04-24 03:17:19,-45.8742,170.5036,54.0,86,100,5.99,overcast clouds
